H,f1,f2,f3
7,0.142857143,0.142857143,0.714285714
7,0.142857143,0.285714286,0.571428571
7,0.142857143,0.428571429,0.428571429
7,0.142857143,0.571428571,0.285714286
7,0.142857143,0.714285714,0.142857143
7,0.285714286,0.142857143,0.571428571
7,0.285714286,0.571428571,0.142857143
7,0.428571429,0.142857143,0.428571429
7,0.428571429,0.428571429,0.142857143
7,0.571428571,0.142857143,0.285714286
7,0.571428571,0.285714286,0.142857143
7,0.714285714,0.142857143,0.142857143
7,0.095238095,0.095238095,0.80952381
7,0.095238095,0.238095238,0.666666667
7,0.095238095,0.380952381,0.523809524
7,0.095238095,0.523809524,0.380952381
7,0.095238095,0.666666667,0.238095238
7,0.095238095,0.80952381,0.095238095
7,0.238095238,0.095238095,0.666666667
7,0.238095238,0.666666667,0.095238095
7,0.380952381,0.095238095,0.523809524
7,0.380952381,0.523809524,0.095238095
7,0.523809524,0.095238095,0.380952381
7,0.523809524,0.380952381,0.095238095
7,0.666666667,0.095238095,0.238095238
7,0.666666667,0.238095238,0.095238095
7,0.80952381,0.095238095,0.095238095
7,0.047619048,0.047619048,0.904761905
7,0.047619048,0.19047619,0.761904762
7,0.047619048,0.333333333,0.619047619
7,0.047619048,0.476190476,0.476190476
7,0.047619048,0.619047619,0.333333333
7,0.047619048,0.761904762,0.19047619
7,0.047619048,0.904761905,0.047619048
7,0.19047619,0.047619048,0.761904762
7,0.19047619,0.761904762,0.047619048
7,0.333333333,0.047619048,0.619047619
7,0.333333333,0.619047619,0.047619048
7,0.476190476,0.047619048,0.476190476
7,0.476190476,0.476190476,0.047619048
7,0.619047619,0.047619048,0.333333333
7,0.619047619,0.333333333,0.047619048
7,0.761904762,0.047619048,0.19047619
7,0.761904762,0.19047619,0.047619048
7,0.904761905,0.047619048,0.047619048
7,0,0,1
7,0,0.142857143,0.857142857
7,0,0.285714286,0.714285714
7,0,0.428571429,0.571428571
7,0,0.571428571,0.428571429
7,0,0.714285714,0.285714286
7,0,0.857142857,0.142857143
7,0,1,0
7,0.142857143,0,0.857142857
7,0.142857143,0.857142857,0
7,0.285714286,0,0.714285714
7,0.285714286,0.714285714,0
7,0.428571429,0,0.571428571
7,0.428571429,0.571428571,0
7,0.571428571,0,0.428571429
7,0.571428571,0.428571429,0
7,0.714285714,0,0.285714286
7,0.714285714,0.285714286,0
7,0.857142857,0,0.142857143
7,0.857142857,0.142857143,0
7,1,0,0
8,0.333333333,0.333333333,0.333333333
8,0.291666667,0.291666667,0.416666667
8,0.291666667,0.416666667,0.291666667
8,0.416666667,0.291666667,0.291666667
8,0.25,0.25,0.5
8,0.25,0.375,0.375
8,0.25,0.5,0.25
8,0.375,0.25,0.375
8,0.375,0.375,0.25
8,0.5,0.25,0.25
8,0.208333333,0.208333333,0.583333333
