H,f1,f2,f3
13,0.461538462,0.538461538,0
13,0.538461538,0,0.461538462
13,0.538461538,0.076923077,0.384615385
13,0.538461538,0.153846154,0.307692308
13,0.538461538,0.230769231,0.230769231
13,0.538461538,0.307692308,0.153846154
13,0.538461538,0.384615385,0.076923077
13,0.538461538,0.461538462,0
13,0.615384615,0,0.384615385
13,0.615384615,0.076923077,0.307692308
13,0.615384615,0.153846154,0.230769231
13,0.615384615,0.230769231,0.153846154
13,0.615384615,0.307692308,0.076923077
13,0.615384615,0.384615385,0
13,0.692307692,0,0.307692308
13,0.692307692,0.076923077,0.230769231
13,0.692307692,0.153846154,0.153846154
13,0.692307692,0.230769231,0.076923077
13,0.692307692,0.307692308,0
13,0.769230769,0,0.230769231
13,0.769230769,0.076923077,0.153846154
13,0.769230769,0.153846154,0.076923077
13,0.769230769,0.230769231,0
13,0.846153846,0,0.153846154
13,0.846153846,0.076923077,0.076923077
13,0.846153846,0.153846154,0
13,0.923076923,0,0.076923077
13,0.923076923,0.076923077,0
13,1,0,0
14,0,0,1
14,0,0.071428571,0.928571429
14,0,0.142857143,0.857142857
14,0,0.214285714,0.785714286
14,0,0.285714286,0.714285714
14,0,0.357142857,0.642857143
14,0,0.428571429,0.571428571
14,0,0.5,0.5
14,0,0.571428571,0.428571429
14,0,0.642857143,0.357142857
14,0,0.714285714,0.285714286
14,0,0.785714286,0.214285714
14,0,0.857142857,0.142857143
14,0,0.928571429,0.071428571
14,0,1,0
14,0.071428571,0,0.928571429
14,0.071428571,0.071428571,0.857142857
14,0.071428571,0.142857143,0.785714286
14,0.071428571,0.214285714,0.714285714
14,0.071428571,0.285714286,0.642857143
14,0.071428571,0.357142857,0.571428571
14,0.071428571,0.428571429,0.5
14,0.071428571,0.5,0.428571429
14,0.071428571,0.571428571,0.357142857
14,0.071428571,0.642857143,0.285714286
14,0.071428571,0.714285714,0.214285714
14,0.071428571,0.785714286,0.142857143
14,0.071428571,0.857142857,0.071428571
14,0.071428571,0.928571429,0
14,0.142857143,0,0.857142857
14,0.142857143,0.071428571,0.785714286
14,0.142857143,0.142857143,0.714285714
14,0.142857143,0.214285714,0.642857143
14,0.142857143,0.285714286,0.571428571
14,0.142857143,0.357142857,0.5
14,0.142857143,0.428571429,0.428571429
14,0.142857143,0.5,0.357142857
14,0.142857143,0.571428571,0.285714286
14,0.142857143,0.642857143,0.214285714
14,0.142857143,0.714285714,0.142857143
14,0.142857143,0.785714286,0.071428571
14,0.142857143,0.857142857,0
14,0.214285714,0,0.785714286
14,0.214285714,0.071428571,0.714285714
14,0.214285714,0.142857143,0.642857143
14,0.214285714,0.214285714,0.571428571
14,0.214285714,0.285714286,0.5
14,0.214285714,0.357142857,0.428571429
14,0.214285714,0.428571429,0.357142857
14,0.214285714,0.5,0.285714286
14,0.214285714,0.571428571,0.214285714
14,0.214285714,0.642857143,0.142857143
14,0.214285714,0.714285714,0.071428571
14,0.214285714,0.785714286,0
14,0.285714286,0,0.714285714
14,0.285714286,0.071428571,0.642857143
14,0.285714286,0.142857143,0.571428571
14,0.285714286,0.214285714,0.5
14,0.285714286,0.285714286,0.428571429
14,0.285714286,0.357142857,0.357142857
14,0.285714286,0.428571429,0.285714286
14,0.285714286,0.5,0.214285714
14,0.285714286,0.571428571,0.142857143
14,0.285714286,0.642857143,0.071428571
14,0.285714286,0.714285714,0
14,0.357142857,0,0.642857143
14,0.357142857,0.071428571,0.571428571
14,0.357142857,0.142857143,0.5
14,0.357142857,0.214285714,0.428571429
14,0.357142857,0.285714286,0.357142857
14,0.357142857,0.357142857,0.285714286
14,0.357142857,0.428571429,0.214285714
14,0.357142857,0.5,0.142857143
14,0.357142857,0.571428571,0.071428571
14,0.357142857,0.642857143,0
14,0.428571429,0,0.571428571
14,0.428571429,0.071428571,0.5
14,0.428571429,0.142857143,0.428571429
14,0.428571429,0.214285714,0.357142857
14,0.428571429,0.285714286,0.285714286
14,0.428571429,0.357142857,0.214285714
14,0.428571429,0.428571429,0.142857143
14,0.428571429,0.5,0.071428571
14,0.428571429,0.571428571,0
14,0.5,0,0.5
14,0.5,0.071428571,0.428571429
14,0.5,0.142857143,0.357142857
14,0.5,0.214285714,0.285714286
14,0.5,0.285714286,0.214285714
14,0.5,0.357142857,0.142857143
14,0.5,0.428571429,0.071428571
14,0.5,0.5,0
14,0.571428571,0,0.428571429
14,0.571428571,0.071428571,0.357142857
14,0.571428571,0.142857143,0.285714286
14,0.571428571,0.214285714,0.214285714
14,0.571428571,0.285714286,0.142857143
14,0.571428571,0.357142857,0.071428571
14,0.571428571,0.428571429,0
14,0.642857143,0,0.357142857
14,0.642857143,0.071428571,0.285714286
14,0.642857143,0.142857143,0.214285714
14,0.642857143,0.214285714,0.142857143
14,0.642857143,0.285714286,0.071428571
14,0.642857143,0.357142857,0
14,0.714285714,0,0.285714286
14,0.714285714,0.071428571,0.214285714
14,0.714285714,0.142857143,0.142857143
14,0.714285714,0.214285714,0.071428571
14,0.714285714,0.285714286,0
14,0.785714286,0,0.214285714
14,0.785714286,0.071428571,0.142857143
14,0.785714286,0.142857143,0.071428571
14,0.785714286,0.214285714,0
14,0.857142857,0,0.142857143
14,0.857142857,0.071428571,0.071428571
14,0.857142857,0.142857143,0
14,0.928571429,0,0.071428571
14,0.928571429,0.071428571,0
14,1,0,0
15,0,0,1
15,0,0.066666667,0.933333333
15,0,0.133333333,0.866666667
15,0,0.2,0.8
15,0,0.266666667,0.733333333
15,0,0.333333333,0.666666667
15,0,0.4,0.6
15,0,0.466666667,0.533333333
15,0,0.533333333,0.466666667
15,0,0.6,0.4
15,0,0.666666667,0.333333333
15,0,0.733333333,0.266666667
15,0,0.8,0.2
15,0,0.866666667,0.133333333
15,0,0.933333333,0.066666667
15,0,1,0
15,0.066666667,0,0.933333333
15,0.066666667,0.066666667,0.866666667
15,0.066666667,0.133333333,0.8
15,0.066666667,0.2,0.733333333
15,0.066666667,0.266666667,0.666666667
15,0.066666667,0.333333333,0.6
15,0.066666667,0.4,0.533333333
15,0.066666667,0.466666667,0.466666667
15,0.066666667,0.533333333,0.4
15,0.066666667,0.6,0.333333333
15,0.066666667,0.666666667,0.266666667
15,0.066666667,0.733333333,0.2
15,0.066666667,0.8,0.133333333
